robots,Object_shape,path,WP,c/p/r,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
25.0,0.0,straight,7.0,2.0,0.0522176,0.254858,0.0482289,0.0093458,0.0034665,0.0104435,0.121729,0.0405686,0.090413,0.0358573,0.0080213,0.0398911,0.11,0.078637,0.0808964,0.0222514,0.0231363,0.275502,0.0453304,0.124828,0.0181817,0.00460681,0.0273584,0.113365,0.0421704,0.0418326,0.096791,0.0669736,0.20943,0.0644174
25.0,0.0,straight,8.0,0.0,0.537827466099,0.512156356994,0.484909938281,0.508783119585,0.595522854437,0.568479489788,0.727332793999,0.48832276432,0.747488347992,0.483233331397,0.509793320837,0.728290595262,0.443182623278,0.774028268563,0.739945735434,0.527027946897,0.542188442961,0.522122680958,0.699830403947,0.57223226929,0.536887572787,0.620007785038,0.450373463699,0.530057848986,0.609629874671,0.718144615942,0.5321338355,0.586722811321,0.72685029327,0.478184283033
25.0,0.0,straight,8.0,1.0,0.0763802332083,0.024921858528,0.0705886214061,0.0696728627344,0.100346055679,0.0610574554846,0.056869335431,0.0431015530116,0.0887325294318,0.0809648831037,0.0622486679315,0.0501310003532,0.0638011491749,0.072765277258,0.0656018969458,0.0729853898071,0.0755282637494,0.0505928220428,0.0538157168924,0.060186404611,0.054849321113,0.0603166765067,0.0763286608703,0.0658048952659,0.0709079703617,0.0679281777589,0.0679948593939,0.0795818121709,0.0555650887059,0.0716752775287
25.0,0.0,straight,8.0,2.0,0.0566816,0.265147,0.081659,0.0198586,0.0348027,0.0120382,0.112488,0.0416417,0.123381,0.0528586,0.0270101,0.0322546,0.112796,0.096116,0.092699,0.0376974,0.0394559,0.302552,0.0681761,0.156037,0.0285649,0.009695279,0.0448099,0.127148,0.0504464,0.0616607,0.114076,0.0792046,0.220986,0.0517156
25.0,0.0,straight,9.0,0.0,0.58635351846,0.574775889456,0.550083422156,0.569769256284,0.65291715992,0.635405789915,0.79776253092,0.544460308261,0.810159201614,0.539783334705,0.548172830802,0.792642808273,0.494517508814,0.847294876421,0.803422279248,0.575729997295,0.610748754577,0.567945391227,0.751713084374,0.631530816741,0.60014301342,0.691284512234,0.504669468474,0.582821839968,0.681234622734,0.780795093556,0.590503863248,0.634665652827,0.807157506623,0.528577638437
25.0,0.0,straight,9.0,1.0,0.0634352792383,0.0682347108479,0.0726935679879,0.0746795480008,0.0632086398089,0.0647636185836,0.0652260611523,0.0656391960063,0.0767930230571,0.0637597796734,0.0455435096254,0.0703520060997,0.0412594830391,0.0741183568631,0.0620877903528,0.056784210094,0.0781055174123,0.0517841234469,0.0604125615654,0.0535343851042,0.0668687532757,0.0717271721146,0.0579741928124,0.0529952975653,0.0689353432837,0.0613079978287,0.0627914473272,0.0490434125305,0.0758933457152,0.053155924992
25.0,0.0,straight,9.0,2.0,0.0488981,0.305505,0.106343,0.0076747,0.0484062,0.0179546,0.138763,0.0648729,0.143605,0.0791729,0.0359556,0.0419925,0.123311,0.101872,0.110545,0.0512882,0.0502485,0.333171,0.070855,0.16623,0.00426952,0.0035106,0.0225678,0.130837,0.0417027,0.0762459,0.122774,0.111296,0.234816,0.067004
25.0,0.0,zigzac,0.0,0.0,0.163599511613,0.114113575441,0.102374504639,0.130064484007,0.196423833839,0.165324563813,0.237012393136,0.132402426337,0.265572076281,0.114826540922,0.109027964303,0.25097211359,0.124646010766,0.28954315257,0.258662022918,0.134482788862,0.20464444874,0.118355029466,0.190247557672,0.14375308275,0.120954034658,0.162351384349,0.114232958904,0.142513332008,0.165754024989,0.229647114722,0.146564345255,0.122789138363,0.254664054197,0.127892127201
25.0,0.0,zigzac,0.0,1.0,0.0290289734576,0.0870412873296,0.0623386124324,0.038459903796,0.0421151397956,0.0298141593878,0.0581765631505,0.046086745383,0.0942947909484,0.0403432088461,0.0447806710535,0.0518496615225,0.0426318484234,0.0511895741338,0.0656013147734,0.0227190932918,0.0369093335079,0.0541891520509,0.0397025654083,0.0522377574174,0.0492215989175,0.071895010258,0.0582064678537,0.0335400432319,0.0750166808117,0.0643350176809,0.0501929726157,0.03892323856,0.018438579121,0.0788710067135
25.0,0.0,zigzac,0.0,2.0,0.0399641,0.0051309,0.00485667,0.0137416,0.0403917,0.0496989,0.0370294,0.0059979,0.0283681,0.00299719,0.00335566,0.0678489,0.0376945,0.0023115,0.0073773,0.017566,0.0137121,0.0029311,0.0315765,0.0162376,0.0055615,0.00595709,0.0131655,0.00098549,0.0308652,0.0470179,0.0017899,0.0220642,0.0721189,0.00296689
25.0,0.0,zigzac,1.0,0.0,0.159474503589,0.0754464752259,0.0662559039604,0.0980884682518,0.165902784956,0.147092540098,0.208229286619,0.149652289043,0.227720569009,0.0655977710006,0.0973328176599,0.182117861855,0.036470514916,0.308680639075,0.224884250535,0.120188824426,0.165961515588,0.105998267422,0.170653488874,0.0962690616566,0.0783326317087,0.143974222996,0.0889479380644,0.173579671495,0.137411944616,0.205287972613,0.150387459912,0.139667856715,0.255623432543,0.0675581340791
25.0,0.0,zigzac,1.0,1.0,0.0451844352887,0.0174608827958,0.0313545799986,0.0265827975224,0.028075240101,0.0257833078221,0.0305460851199,0.0404294615888,0.0224842068448,0.0264390669041,0.0512232676842,0.044124712887,0.0767948393029,0.0336090619508,0.0395897917651,0.0255113895351,0.0237777558287,0.020044380426,0.0223172346531,0.0629474755669,0.0345611796217,0.031875440096,0.0303879077513,0.0520916944201,0.0639075344636,0.0171897413363,0.0283564926017,0.0468262557473,0.0198216294207,0.0302436692418
25.0,0.0,zigzac,1.0,2.0,0.0169522,0.0128331,0.00824198,0.0200467,0.0364505,0.0172031,0.0108962,0.0546511,0.0127782,0.00864607,0.033746,0.0269683,0.0077503,0.0618901,0.0416686,0.0674242,0.00353118,0.0490901,0.00096716,0.022557,0.0209037,0.00212332,0.0204782,0.0497177,0.0476502,0.0100152,0.0283904,0.0030577,0.0213908,0.00761215
25.0,0.0,zigzac,2.0,0.0,0.255122965058,0.170321404703,0.160187330648,0.188369399054,0.263375261177,0.256795433371,0.309551741232,0.238404456754,0.333341827108,0.145967745752,0.169412628219,0.272756531727,0.13509345506,0.448068372015,0.341093337519,0.219959307373,0.261665588299,0.221376831895,0.275137842726,0.193951925229,0.1684598792,0.268969962821,0.171023928735,0.270509674688,0.225561787544,0.310524475203,0.246522898936,0.219364695883,0.373686082294,0.166841679445
